trip_id,pickup_datetime,dropoff_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_area,dropoff_area,distance_km,duration_minutes,vehicle_type,fare_amount,surge_multiplier,weather_condition,hour,day_of_week,is_weekend
31,2024-01-01 01:30:00,2024-01-01 01:45:00,-6.178491029619712,106.77569378206799,-6.2989321716060624,106.86136045829588,Central Jakarta,Central Jakarta,2.72,12.6,premium_car,76448.0,1.9,rainy,18,Tuesday,True
32,2024-01-01 01:33:00,2024-01-01 01:48:00,-6.265895175262542,106.83311772697098,-6.103025686777279,106.93688074513781,West Jakarta,Central Jakarta,7.75,39.0,motorcycle,28275.0,1.94,cloudy,8,Wednesday,False
33,2024-01-01 01:36:00,2024-01-01 01:51:00,-6.286989681402944,106.84110414694494,-6.1244334792848365,106.71031743684365,Central Jakarta,Central Jakarta,5.29,15.9,car,54702.0,2.4,rainy,19,Monday,True
34,2024-01-01 01:39:00,2024-01-01 01:54:00,-6.110222892549333,106.85014579924679,-6.120978754853981,106.92971321397079,Central Jakarta,South Jakarta,3.64,13.1,premium_car,67991.0,1.77,rainy,7,Monday,True
35,2024-01-01 01:42:00,2024-01-01 01:57:00,-6.106873593385088,106.74156383258743,-6.1681510925898255,106.85227041375525,West Jakarta,West Jakarta,10.56,17.1,motorcycle,31019.0,2.49,sunny,8,Monday,False
36,2024-01-01 01:45:00,2024-01-01 02:00:00,-6.138320530376707,106.79493435120541,-6.231042614269093,106.90182857519227,South Jakarta,South Jakarta,4.94,13.6,car,54480.0,1.24,sunny,15,Tuesday,True
37,2024-01-01 01:48:00,2024-01-01 02:03:00,-6.239077246165325,106.85429855677924,-6.1212702701819035,106.79596873835857,South Jakarta,South Jakarta,2.25,28.2,motorcycle,17553.0,1.81,cloudy,13,Tuesday,True
38,2024-01-01 01:51:00,2024-01-01 02:06:00,-6.280465577198723,106.94245471615845,-6.241696614369761,106.8179607437094,Central Jakarta,West Jakarta,7.44,44.6,premium_car,77895.0,1.32,sunny,23,Tuesday,True
39,2024-01-01 01:54:00,2024-01-01 02:09:00,-6.163153394697568,106.88190778442493,-6.187457691331559,106.9172126879503,South Jakarta,West Jakarta,6.04,11.2,premium_car,14071.0,1.68,cloudy,5,Monday,True
40,2024-01-01 01:57:00,2024-01-01 02:12:00,-6.21196950125208,106.93065093927349,-6.280053805531224,106.80371199245246,West Jakarta,West Jakarta,6.14,26.1,motorcycle,40672.0,1.26,sunny,8,Tuesday,True
41,2024-01-01 02:00:00,2024-01-01 02:15:00,-6.275592353031044,106.89055301457854,-6.11560887397345,106.83366489168728,West Jakarta,West Jakarta,7.79,23.5,car,47577.0,1.33,sunny,10,Wednesday,False
42,2024-01-01 02:03:00,2024-01-01 02:18:00,-6.200964617977745,106.8479292422231,-6.271845908445757,106.70504873077108,South Jakarta,Central Jakarta,10.7,21.9,premium_car,65334.0,1.32,cloudy,21,Tuesday,False
43,2024-01-01 02:06:00,2024-01-01 02:21:00,-6.293122295776956,106.74800584228409,-6.255020638853918,106.73964950145951,South Jakarta,South Jakarta,10.01,21.6,motorcycle,18479.0,1.48,sunny,14,Wednesday,True
44,2024-01-01 02:09:00,2024-01-01 02:24:00,-6.118135919584243,106.86667141297313,-6.188373168374357,106.8604216269937,Central Jakarta,South Jakarta,14.18,41.3,motorcycle,40857.0,1.2,cloudy,14,Tuesday,True
45,2024-01-01 02:12:00,2024-01-01 02:27:00,-6.248244003679996,106.85584489148998,-6.147181399957403,106.87924422526598,South Jakarta,South Jakarta,8.73,10.7,car,30980.0,2.21,sunny,4,Wednesday,False
46,2024-01-01 02:15:00,2024-01-01 02:30:00,-6.167495543129204,106.85061729261432,-6.17612973881274,106.84565023419613,Central Jakarta,West Jakarta,8.14,37.1,car,31841.0,1.33,cloudy,7,Monday,False
47,2024-01-01 02:18:00,2024-01-01 02:33:00,-6.237657784782118,106.82244646699706,-6.2535732174399685,106.73582750906891,West Jakarta,South Jakarta,4.77,18.9,premium_car,64515.0,1.62,rainy,19,Tuesday,True
48,2024-01-01 02:21:00,2024-01-01 02:36:00,-6.195986395764438,106.83216415099731,-6.299811391494502,106.81135135714446,West Jakarta,Central Jakarta,11.82,23.4,car,10382.0,1.02,cloudy,2,Wednesday,False
49,2024-01-01 02:24:00,2024-01-01 02:39:00,-6.190657944131344,106.78361063177952,-6.148569883938512,106.7887736915908,West Jakarta,South Jakarta,3.83,24.7,car,62436.0,1.16,sunny,19,Monday,False
50,2024-01-01 02:27:00,2024-01-01 02:42:00,-6.263029108894894,106.82982817316058,-6.102958534817781,106.82391533600878,South Jakarta,South Jakarta,8.38,20.7,premium_car,66728.0,2.34,rainy,3,Wednesday,False
51,2024-01-01 02:30:00,2024-01-01 02:45:00,-6.1060830744470875,106.74938897641962,-6.138017375938782,106.91758225863853,South Jakarta,Central Jakarta,7.48,13.3,motorcycle,73095.0,2.26,rainy,6,Tuesday,True
52,2024-01-01 02:33:00,2024-01-01 02:48:00,-6.144973435327777,106.9012935993401,-6.207958676368676,106.89396535966466,South Jakarta,Central Jakarta,10.56,14.0,premium_car,53882.0,2.26,cloudy,16,Tuesday,True
53,2024-01-01 02:36:00,2024-01-01 02:51:00,-6.112100211687162,106.74644423867468,-6.119246547720178,106.7209973753473,Central Jakarta,South Jakarta,13.93,20.4,premium_car,33342.0,1.62,cloudy,11,Tuesday,True
54,2024-01-01 02:39:00,2024-01-01 02:54:00,-6.1210345299144695,106.72124157247237,-6.21803046537633,106.92257729944365,Central Jakarta,West Jakarta,14.31,38.8,car,39906.0,1.21,rainy,5,Monday,False
55,2024-01-01 02:42:00,2024-01-01 02:57:00,-6.180420004237782,106.80906150658929,-6.195013183151306,106.81794178778746,Central Jakarta,West Jakarta,4.18,14.7,car,77882.0,1.16,cloudy,23,Tuesday,True
56,2024-01-01 02:45:00,2024-01-01 03:00:00,-6.115625152995376,106.86457685987652,-6.204574046520863,106.8859655362215,West Jakarta,South Jakarta,5.4,36.0,motorcycle,71683.0,1.91,cloudy,22,Monday,False
57,2024-01-01 02:48:00,2024-01-01 03:03:00,-6.282301499589616,106.80942920623339,-6.210475225466895,106.73500980781608,Central Jakarta,South Jakarta,12.55,20.1,car,42447.0,2.24,cloudy,20,Monday,True
58,2024-01-01 02:51:00,2024-01-01 03:06:00,-6.260803427516171,106.76918853298783,-6.144961846141219,106.86767988142677,South Jakarta,South Jakarta,8.74,40.9,motorcycle,76014.0,2.35,sunny,3,Tuesday,True
59,2024-01-01 02:54:00,2024-01-01 03:09:00,-6.290954542217892,106.83954279597262,-6.194646218546102,106.75908150440237,South Jakarta,South Jakarta,7.89,25.0,motorcycle,67607.0,1.43,sunny,17,Tuesday,False
60,2024-01-01 02:57:00,2024-01-01 03:12:00,-6.234933933847347,106.78675058385305,-6.236656575594957,106.80959522428523,West Jakarta,West Jakarta,11.24,16.0,motorcycle,73076.0,1.48,rainy,15,Tuesday,True
61,2024-01-01 03:00:00,2024-01-01 03:15:00,-6.222264542062104,106.93321692253166,-6.248368366468304,106.70421571752053,South Jakarta,South Jakarta,9.83,44.5,premium_car,57808.0,1.15,rainy,0,Tuesday,False
62,2024-01-01 03:03:00,2024-01-01 03:18:00,-6.245730193645221,106.93066128490089,-6.2924505366065135,106.73790265948263,South Jakarta,Central Jakarta,14.62,16.2,car,70036.0,2.16,rainy,16,Wednesday,True
63,2024-01-01 03:06:00,2024-01-01 03:21:00,-6.134252498169614,106.82559295499303,-6.183360967623391,106.7230201232809,South Jakarta,West Jakarta,9.59,29.9,car,72424.0,1.41,cloudy,4,Wednesday,True
64,2024-01-01 03:09:00,2024-01-01 03:24:00,-6.228649334661282,106.78197099850456,-6.2540077169197925,106.75993604323456,Central Jakarta,West Jakarta,8.06,29.9,motorcycle,16441.0,1.72,cloudy,22,Wednesday,False
65,2024-01-01 03:12:00,2024-01-01 03:27:00,-6.243813098062524,106.88428310348917,-6.270373215596723,106.72500452250608,Central Jakarta,Central Jakarta,9.06,23.0,car,77565.0,2.39,cloudy,17,Monday,False
66,2024-01-01 03:15:00,2024-01-01 03:30:00,-6.19146078336835,106.70917823587077,-6.169234007234464,106.87297750665489,South Jakarta,South Jakarta,12.51,43.3,motorcycle,33353.0,2.13,rainy,5,Monday,True
67,2024-01-01 03:18:00,2024-01-01 03:33:00,-6.271815155005047,106.81869225151091,-6.16375814843569,106.7072599755523,South Jakarta,South Jakarta,9.96,39.5,car,40793.0,1.08,rainy,22,Wednesday,False
68,2024-01-01 03:21:00,2024-01-01 03:36:00,-6.1395606038491914,106.78408084856758,-6.149569021548467,106.85443512515626,South Jakarta,South Jakarta,10.41,39.0,premium_car,65433.0,1.01,sunny,12,Tuesday,True
69,2024-01-01 03:24:00,2024-01-01 03:39:00,-6.285089871264046,106.93013397127564,-6.199284620732281,106.7351769577064,South Jakarta,South Jakarta,14.63,44.1,car,56543.0,2.18,cloudy,7,Monday,True
70,2024-01-01 03:27:00,2024-01-01 03:42:00,-6.102622612679896,106.70300075681817,-6.1211890789592225,106.93629036429448,Central Jakarta,South Jakarta,10.04,26.0,motorcycle,72514.0,1.83,cloudy,18,Monday,True
71,2024-01-01 03:30:00,2024-01-01 03:45:00,-6.145551046140668,106.83820371892959,-6.112731449320354,106.93327351827746,West Jakarta,Central Jakarta,6.94,13.4,premium_car,38040.0,2.08,sunny,15,Monday,False
72,2024-01-01 03:33:00,2024-01-01 03:48:00,-6.260256863693165,106.88516589526665,-6.138525812041502,106.75637577563025,South Jakarta,South Jakarta,10.99,36.8,car,36130.0,1.24,rainy,17,Monday,False
73,2024-01-01 03:36:00,2024-01-01 03:51:00,-6.298895576575279,106.82125449688101,-6.172881303598362,106.85360532455576,Central Jakarta,Central Jakarta,10.57,23.3,premium_car,12218.0,2.31,rainy,6,Wednesday,True
74,2024-01-01 03:39:00,2024-01-01 03:54:00,-6.136907714309033,106.72135075754068,-6.239255809281762,106.70700132986812,South Jakarta,Central Jakarta,2.18,16.7,motorcycle,42391.0,2.16,rainy,23,Wednesday,True
75,2024-01-01 03:42:00,2024-01-01 03:57:00,-6.158628531230477,106.94311534750697,-6.103411015675955,106.9329471357628,West Jakarta,Central Jakarta,8.08,26.9,motorcycle,60685.0,2.34,cloudy,8,Monday,False
76,2024-01-01 03:45:00,2024-01-01 04:00:00,-6.154198566391802,106.82950260784403,-6.245172766561612,106.83074682704793,Central Jakarta,South Jakarta,11.66,42.4,car,31083.0,1.51,sunny,20,Tuesday,True
77,2024-01-01 03:48:00,2024-01-01 04:03:00,-6.145745930662811,106.85354656107975,-6.2594686156019135,106.71080578785445,Central Jakarta,South Jakarta,8.49,16.0,motorcycle,42391.0,1.41,sunny,0,Wednesday,True
78,2024-01-01 03:51:00,2024-01-01 04:06:00,-6.285191069653182,106.75915244567688,-6.2115691772426835,106.78562499825203,West Jakarta,West Jakarta,12.14,39.7,car,25358.0,1.23,rainy,8,Monday,False
79,2024-01-01 03:54:00,2024-01-01 04:09:00,-6.228306854291145,106.8208745212767,-6.288631885857522,106.71921236546531,West Jakarta,West Jakarta,7.86,24.6,motorcycle,64095.0,2.4,cloudy,9,Wednesday,True
80,2024-01-01 03:57:00,2024-01-01 04:12:00,-6.276826188094974,106.80728737298958,-6.104301107065641,106.79823610984334,Central Jakarta,Central Jakarta,14.78,14.8,motorcycle,14236.0,1.27,sunny,20,Monday,False
81,2024-01-01 04:00:00,2024-01-01 04:15:00,-6.127379314824881,106.7187239605005,-6.182313288716715,106.86748158554033,West Jakarta,West Jakarta,5.81,39.7,motorcycle,59377.0,1.18,cloudy,17,Tuesday,False
82,2024-01-01 04:03:00,2024-01-01 04:18:00,-6.175340374634488,106.72654008838687,-6.188609581667165,106.81747247701037,South Jakarta,Central Jakarta,3.2,43.9,car,36526.0,1.29,rainy,21,Monday,False
83,2024-01-01 04:06:00,2024-01-01 04:21:00,-6.23382039502947,106.90936812990469,-6.168840744020056,106.79593054367987,West Jakarta,West Jakarta,7.59,20.2,car,12912.0,2.16,rainy,0,Monday,True
84,2024-01-01 04:09:00,2024-01-01 04:24:00,-6.287288329942795,106.75995498805165,-6.200595270444558,106.72978926138512,West Jakarta,South Jakarta,9.04,20.6,car,69743.0,2.33,sunny,12,Monday,False
85,2024-01-01 04:12:00,2024-01-01 04:27:00,-6.237803535656868,106.74873956787467,-6.293587296581092,106.76123476142342,Central Jakarta,South Jakarta,6.54,23.7,car,44141.0,2.22,rainy,13,Tuesday,True
86,2024-01-01 04:15:00,2024-01-01 04:30:00,-6.23496333559465,106.82622786281254,-6.17753774223192,106.7250358219346,West Jakarta,Central Jakarta,5.15,38.5,motorcycle,51952.0,1.84,sunny,22,Monday,False
87,2024-01-01 04:18:00,2024-01-01 04:33:00,-6.154078764332387,106.89218678284062,-6.156765224608714,106.90187468291417,Central Jakarta,Central Jakarta,10.74,10.4,premium_car,61242.0,2.49,rainy,6,Monday,False
88,2024-01-01 04:21:00,2024-01-01 04:36:00,-6.172488505728957,106.71548662964474,-6.216650187875189,106.73380995699618,South Jakarta,South Jakarta,6.9,17.8,car,55855.0,1.1,sunny,7,Wednesday,True
89,2024-01-01 04:24:00,2024-01-01 04:39:00,-6.1225574514847345,106.84420197990957,-6.148540885585761,106.84884334163722,West Jakarta,South Jakarta,10.21,34.7,motorcycle,61160.0,2.3,rainy,0,Monday,False
90,2024-01-01 04:27:00,2024-01-01 04:42:00,-6.20555701496761,106.72980261071015,-6.254599740132315,106.78568510339721,West Jakarta,South Jakarta,12.13,24.2,motorcycle,63360.0,1.64,rainy,1,Wednesday,False
91,2024-01-01 04:30:00,2024-01-01 04:45:00,-6.276081150812339,106.7091152627064,-6.255744681786763,106.7564945961638,Central Jakarta,West Jakarta,11.89,21.6,car,51241.0,1.68,cloudy,10,Monday,False
92,2024-01-01 04:33:00,2024-01-01 04:48:00,-6.1573510425554,106.71318598804056,-6.267716602462485,106.85986710987302,Central Jakarta,West Jakarta,6.88,40.5,car,35595.0,1.19,cloudy,0,Tuesday,True
93,2024-01-01 04:36:00,2024-01-01 04:51:00,-6.1478429902766205,106.90854102705211,-6.225601048042168,106.81425057734424,West Jakarta,West Jakarta,9.38,42.1,motorcycle,27020.0,1.05,rainy,23,Tuesday,True
94,2024-01-01 04:39:00,2024-01-01 04:54:00,-6.1877445604861006,106.72949312090702,-6.130597592922183,106.80003636682115,Central Jakarta,West Jakarta,7.85,43.2,car,73203.0,1.47,sunny,11,Tuesday,True
95,2024-01-01 04:42:00,2024-01-01 04:57:00,-6.145806564009088,106.71128784110307,-6.134417587570187,106.84821300122306,West Jakarta,Central Jakarta,13.32,19.5,car,77895.0,1.26,rainy,7,Monday,False
96,2024-01-01 04:45:00,2024-01-01 05:00:00,-6.201240880727122,106.80947497178573,-6.223435158407299,106.8228169071225,South Jakarta,Central Jakarta,13.42,41.9,premium_car,35036.0,1.73,cloudy,2,Tuesday,False
97,2024-01-01 04:48:00,2024-01-01 05:03:00,-6.195453434123601,106.91099836798551,-6.182176252803952,106.77587105213789,West Jakarta,West Jakarta,6.47,35.8,premium_car,17862.0,1.22,sunny,9,Tuesday,True
98,2024-01-01 04:51:00,2024-01-01 05:06:00,-6.21449179632829,106.76560209412233,-6.155836736705017,106.83976532194131,South Jakarta,Central Jakarta,3.19,15.4,car,25578.0,1.21,rainy,14,Monday,False
99,2024-01-01 04:54:00,2024-01-01 05:09:00,-6.29491617465118,106.80542815438149,-6.251758645074395,106.86737464413768,South Jakarta,West Jakarta,4.18,31.4,premium_car,56947.0,2.32,rainy,11,Wednesday,False
100,2024-01-01 04:57:00,2024-01-01 05:12:00,-6.278421714601339,106.70998063314094,-6.26637178282105,106.70667328964672,Central Jakarta,West Jakarta,6.77,10.9,premium_car,22105.0,2.38,cloudy,1,Monday,True
101,2024-01-01 05:00:00,2024-01-01 05:15:00,-6.293714162862653,106.81226962853373,-6.1055808013575374,106.81646793222693,Central Jakarta,South Jakarta,9.34,34.8,car,64609.0,2.45,sunny,4,Monday,False
102,2024-01-01 05:03:00,2024-01-01 05:18:00,-6.172717917747244,106.84440327015929,-6.176488537358076,106.7144208211459,Central Jakarta,West Jakarta,10.54,35.7,motorcycle,74612.0,2.02,sunny,8,Wednesday,False
103,2024-01-01 05:06:00,2024-01-01 05:21:00,-6.237128803784734,106.84272676343804,-6.103716855633267,106.74660135351704,Central Jakarta,Central Jakarta,6.31,37.6,motorcycle,77456.0,2.16,sunny,17,Tuesday,True
104,2024-01-01 05:09:00,2024-01-01 05:24:00,-6.198285861767059,106.78310667304359,-6.232448802573554,106.8401271835195,West Jakarta,West Jakarta,10.68,16.0,motorcycle,10653.0,2.25,rainy,5,Monday,False
105,2024-01-01 05:12:00,2024-01-01 05:27:00,-6.118486705214781,106.77888329516578,-6.159393660005174,106.9165472288164,South Jakarta,South Jakarta,14.19,32.0,motorcycle,77071.0,1.99,cloudy,10,Wednesday,False
106,2024-01-01 05:15:00,2024-01-01 05:30:00,-6.2501415541702245,106.72665590473416,-6.255479272691752,106.92070141979713,West Jakarta,Central Jakarta,10.48,16.3,premium_car,61814.0,1.5,rainy,13,Wednesday,False
107,2024-01-01 05:18:00,2024-01-01 05:33:00,-6.217923415392874,106.79169958016158,-6.247759965745217,106.71748600253466,South Jakarta,South Jakarta,4.06,43.1,premium_car,15884.0,1.23,cloudy,0,Tuesday,False
108,2024-01-01 05:21:00,2024-01-01 05:36:00,-6.1488897722913896,106.72487366721825,-6.197619575746075,106.80477627157168,South Jakarta,West Jakarta,9.54,33.6,car,39067.0,1.36,cloudy,22,Monday,False
109,2024-01-01 05:24:00,2024-01-01 05:39:00,-6.2542403669016755,106.89164898617801,-6.236076374898386,106.84575162075114,South Jakarta,West Jakarta,9.04,13.3,car,59003.0,2.26,sunny,3,Wednesday,False
110,2024-01-01 05:27:00,2024-01-01 05:42:00,-6.2846040180342415,106.94156857443706,-6.266475687231883,106.73676747613759,West Jakarta,West Jakarta,13.32,16.5,motorcycle,76968.0,2.04,rainy,6,Monday,False
111,2024-01-01 05:30:00,2024-01-01 05:45:00,-6.2420497094172465,106.94251861416667,-6.247423859602135,106.8913580541862,Central Jakarta,West Jakarta,6.55,33.2,motorcycle,21490.0,1.68,sunny,8,Monday,False
112,2024-01-01 05:33:00,2024-01-01 05:48:00,-6.267755742549199,106.91626777484385,-6.292850321106827,106.88605881460931,West Jakarta,Central Jakarta,7.5,26.7,car,18941.0,1.04,cloudy,16,Tuesday,False
113,2024-01-01 05:36:00,2024-01-01 05:51:00,-6.114060469531485,106.8501980373349,-6.159115275704503,106.9258352534267,South Jakarta,West Jakarta,9.78,35.8,car,43064.0,1.4,cloudy,16,Monday,False
114,2024-01-01 05:39:00,2024-01-01 05:54:00,-6.138375924087116,106.87521642431098,-6.2015766685828275,106.70212150302086,West Jakarta,South Jakarta,8.82,19.8,motorcycle,77767.0,2.09,sunny,10,Tuesday,False
115,2024-01-01 05:42:00,2024-01-01 05:57:00,-6.173319248697915,106.77130145067011,-6.2811513867190945,106.75417106099725,South Jakarta,Central Jakarta,11.35,33.0,premium_car,77997.0,1.77,sunny,22,Wednesday,True
116,2024-01-01 05:45:00,2024-01-01 06:00:00,-6.125707881962456,106.85769260504316,-6.265661201374302,106.90679667856134,Central Jakarta,Central Jakarta,2.53,16.2,premium_car,25954.0,1.65,cloudy,11,Tuesday,False
117,2024-01-01 05:48:00,2024-01-01 06:03:00,-6.139265584620177,106.81391238735998,-6.279493092377471,106.86764501270673,Central Jakarta,Central Jakarta,9.33,29.0,premium_car,32354.0,1.47,rainy,14,Tuesday,True
118,2024-01-01 05:51:00,2024-01-01 06:06:00,-6.262685988222793,106.82050433494423,-6.177481438344825,106.92359746342463,West Jakarta,South Jakarta,3.58,43.5,premium_car,73562.0,1.91,sunny,1,Wednesday,False
119,2024-01-01 05:54:00,2024-01-01 06:09:00,-6.121488200302004,106.88944414009379,-6.281157927277501,106.71429491363257,Central Jakarta,South Jakarta,6.1,32.0,premium_car,61439.0,2.45,rainy,7,Tuesday,False
120,2024-01-01 05:57:00,2024-01-01 06:12:00,-6.192131551616869,106.77047958889932,-6.149143533392956,106.84924099142911,South Jakarta,South Jakarta,10.6,11.7,car,78062.0,2.35,cloudy,19,Tuesday,False
121,2024-01-01 06:00:00,2024-01-01 06:15:00,-6.138511968967187,106.77950990292364,-6.295897816135922,106.84226164372342,South Jakarta,South Jakarta,4.05,44.6,car,72520.0,1.05,sunny,22,Wednesday,True
122,2024-01-01 06:03:00,2024-01-01 06:18:00,-6.120781740015301,106.93116044778216,-6.250124842400822,106.70891860409013,Central Jakarta,West Jakarta,6.01,15.5,motorcycle,25057.0,1.72,sunny,1,Tuesday,False
123,2024-01-01 06:06:00,2024-01-01 06:21:00,-6.236399305005627,106.71405607371274,-6.121866664821618,106.82838051922812,Central Jakarta,West Jakarta,11.14,35.1,car,63181.0,1.49,cloudy,23,Monday,True
